Prefix,Assignment,Tutorial,Midterm,TakeHome,Final
8,95.05,102.99,56.25,99.07,50
7,72.85,86.85,60,68.42,56.11
8,84.26,93.1,47.5,18.52,50.83
7,90.1,97.55,51.25,88.89,63.61
7,80.44,90.2,75,91.48,39.72
6,86.26,80.6,74.38,87.59,77.5
8,97.16,103.71,72.5,93.52,63.33
7,91.28,83.53,81.25,99.81,92.22
8,84.8,89.08,44.38,16.91,35.83
7,93.83,95.43,88.12,80.93,90
8,84.8,89.08,47.5,16.91,53.33
4,92.01,102.52,38.75,86.11,49.17
8,55.14,81.85,75,56.11,62.5
8,93.04,82.93,79.38,83.33,91.11
8,63.4,86.21,63.12,72.78,68.42
8,75.27,97.52,63.12,61.11,66.11
